SpotPriceEUR,HourDK,HourUTC,PriceArea,SpotPriceDKK
10.07,2019-01-01T01:00:00,2019-01-01T00:00:00+00:00,DK2,75.2
-4.08,2019-01-01T02:00:00,2019-01-01T01:00:00+00:00,DK2,-30.47
-9.91,2019-01-01T03:00:00,2019-01-01T02:00:00+00:00,DK2,-74
-7.41,2019-01-01T04:00:00,2019-01-01T03:00:00+00:00,DK2,-55.33
-12.55,2019-01-01T05:00:00,2019-01-01T04:00:00+00:00,DK2,-93.72
-17.25,2019-01-01T06:00:00,2019-01-01T05:00:00+00:00,DK2,-128.81
-15.07,2019-01-01T07:00:00,2019-01-01T06:00:00+00:00,DK2,-112.54
-4.93,2019-01-01T08:00:00,2019-01-01T07:00:00+00:00,DK2,-36.81
-6.33,2019-01-01T09:00:00,2019-01-01T08:00:00+00:00,DK2,-47.27
-4.93,2019-01-01T10:00:00,2019-01-01T09:00:00+00:00,DK2,-36.81
0.45,2019-01-01T11:00:00,2019-01-01T10:00:00+00:00,DK2,3.36
0.12,2019-01-01T12:00:00,2019-01-01T11:00:00+00:00,DK2,0.9
-0.02,2019-01-01T13:00:00,2019-01-01T12:00:00+00:00,DK2,-0.15
0,2019-01-01T14:00:00,2019-01-01T13:00:00+00:00,DK2,0
-0.03,2019-01-01T15:00:00,2019-01-01T14:00:00+00:00,DK2,-0.22
1.97,2019-01-01T16:00:00,2019-01-01T15:00:00+00:00,DK2,14.71
9.06,2019-01-01T17:00:00,2019-01-01T16:00:00+00:00,DK2,67.66
0.07,2019-01-01T18:00:00,2019-01-01T17:00:00+00:00,DK2,0.52
-4.97,2019-01-01T19:00:00,2019-01-01T18:00:00+00:00,DK2,-37.11
-6.98,2019-01-01T20:00:00,2019-01-01T19:00:00+00:00,DK2,-52.12
-16.01,2019-01-01T21:00:00,2019-01-01T20:00:00+00:00,DK2,-119.55
-4.87,2019-01-01T22:00:00,2019-01-01T21:00:00+00:00,DK2,-36.37
-28.93,2019-01-01T23:00:00,2019-01-01T22:00:00+00:00,DK2,-216.03
-33.57,2019-01-02T00:00:00,2019-01-01T23:00:00+00:00,DK2,-250.65
-45.92,2019-01-02T01:00:00,2019-01-02T00:00:00+00:00,DK2,-342.87
-48.29,2019-01-02T02:00:00,2019-01-02T01:00:00+00:00,DK2,-360.56
-33.6,2019-01-02T03:00:00,2019-01-02T02:00:00+00:00,DK2,-250.88
